Restaurant_Name,Cusines,Ratings,Location,Delivery_review_no,Restaurant_link,Price_for_one
Raghavendra Upahara,Chinese,4.4,j.p nagar,10,https://www.swiggy.com/restaurants/raghavendra-upahara-9th-block-jayanagar-bangalore-174777,50
Welcome Upahara,North Indian,4.3,j.p nagar,10,https://www.swiggy.com/restaurants/welcome-upahara-3rd-phase-jp-nagar-bangalore-176923,75
Kavali,Indian,4.2,banashankari,10,https://www.swiggy.com/restaurants/kavali-2nd-stage-banashankari-bangalore-464962,125
Ganesh Food Joint,South Indian,4.4,malleswaram,10,https://www.swiggy.com/restaurants/ganesh-food-joint-13th-cross-road-malleswaram-bangalore-58444,75
Sanman Restaurant,Indian,4.4,malleswaram,10,https://www.swiggy.com/restaurants/sanman-restaurant-nehru-nagar-malleshwaram-bangalore-486189,150
Sri Udupi Food Hub,North Indian,4.2,gandhi nagar,10,https://www.swiggy.com/restaurants/sri-udupi-food-hub-gandhi-nagar-bangalore-579022,100
Old Madras Baking Company,Desserts,4.5,st marks road,10,https://www.swiggy.com/restaurants/old-madras-baking-company-st-marks-road-bangalore-686348,225
Chikkanna Tiffin Room(Cubbonpet),Snacks,4.5,city market,10,https://www.swiggy.com/restaurants/chikkanna-tiffin-room-cubbonpet-nagarathpete-city-market-bangalore-226779,100
Kanti Sweets,Sweets,4.5,basavanagudi,10,https://www.swiggy.com/restaurants/kanti-sweets-gandhi-bazaar-basavanagudi-bangalore-285645,50
IDC Kitchen,North Indian,4.5,sampangirama nagar,10,https://www.swiggy.com/restaurants/idc-kitchen-sampangirama-nagar-bangalore-335405,75
Bangalore Thindies,South Indian,4.1,shivajinagar,10,https://www.swiggy.com/restaurants/bangalore-thindies-infantry-road-shivaji-nagar-bangalore-307554,40
Chai Point,Beverages,4.3,banashankari,10,https://www.swiggy.com/restaurants/chai-point-2nd-stage-banashankari-bangalore-95121,75
Chaayos Chai+Snacks=Relax,Beverages,4.3,j.p nagar,10,https://www.swiggy.com/restaurants/chaayos-chai-snacks-relax-4th-block-jayanagar-bangalore-488779,125
New Shanti Sagar,Chinese,4.1,rajajinagar,10,https://www.swiggy.com/restaurants/new-shanti-sagar-3rd-block-rajajinagar-bangalore-40443,100
Nammoora Thindi,South Indian,4.3,nagarbhavi,10,https://www.swiggy.com/restaurants/nammoora-thindi-ngef-layout-nagarbhavi-bangalore-161644,130
Sai Prasadam,North Indian,4.1,vijayanagar,10,https://www.swiggy.com/restaurants/sai-prasadam-rpc-layout-vijay-nagar-bangalore-33094,125
Hot Coffee,South Indian,4.2,vijayanagar,10,https://www.swiggy.com/restaurants/hot-coffee-hoshalli-extension-1st-stage-vijay-nagar-bangalore-333550,50
NOTO - Healthy Ice Cream,Desserts,4.4,j.p nagar,10,https://www.swiggy.com/restaurants/noto-healthy-ice-cream-vishweshwarapura-jayanagar-bangalore-582902,125
Kamat Hotel,South Indian,4.1,basavanagudi,10,https://www.swiggy.com/restaurants/kamat-hotel-rv-road-basavanagudi-bangalore-320315,100
Namaste,Thalis,4.1,vijayanagar,10,https://www.swiggy.com/restaurants/namaste-marenahalli-main-road-vijayanagar-bangalore-607314,50
Brahmins' Thatte Idli,South Indian,4.5,malleswaram,10,https://www.swiggy.com/restaurants/brahmins-thatte-idli-vyalikaval-malleshwaram-bangalore-176071,75
Upahara Darshini KIMS Canteen,North Indian,4,basavanagudi,10,https://www.swiggy.com/restaurants/upahara-darshini-kims-canteen-rajya-vokkaligara-sangha-basavanagudi-bangalore-429864,200
Sangam Sweets,Desserts,4.4,majestic,10,https://www.swiggy.com/restaurants/sangam-sweets-gandhi-nagar-majestic-bangalore-70008,50
Udupi Grand,North Indian,4.3,basavanagudi,10,https://www.swiggy.com/restaurants/udupi-grand-nagasandra-circle-basavanagudi-bangalore-56175,250
The Rameshwaram Cafe,Indian,4.5,malleswaram,10,https://www.swiggy.com/restaurants/the-rameshwaram-cafe-dr-rajkumar-road-malleshwaram-bangalore-673183,125
By 2 Coffee,South Indian,4.5,chamarajpet,10,https://www.swiggy.com/restaurants/by-2-coffee-chamrajpet-chamarajpet-bangalore-85320,50
MTR,South Indian,4.4,majestic,10,https://www.swiggy.com/restaurants/mtr-gandhinagar-majestic-bangalore-49095,150
Lo! - Low Carb And Keto Foods,Fast Food,4.3,basavanagudi,10,https://www.swiggy.com/restaurants/lo-low-carb-and-keto-foods-b-b-m-p-south-basavanagudi-bangalore-744209,250
A2B - Adyar Ananda Bhavan,North Indian,4.4,basavanagudi,10,https://www.swiggy.com/restaurants/a2b-adyar-ananda-bhavan-gandhi-bazar-main-road-basavanagudi-bangalore-1468,150
Shree Mahalakshmi Sweets,Snacks,4.2,basavanagudi,10,https://www.swiggy.com/restaurants/shree-mahalakshmi-sweets-chamrajpet-basavanagudi-bangalore-82160,100
South Kitchen,South Indian,4.5,basavanagudi,10,https://www.swiggy.com/restaurants/south-kitchen-nr-colony-basavanagudi-bangalore-59590,75
India Sweet House,Snacks,4.1,j.p nagar,10,https://www.swiggy.com/restaurants/india-sweet-house-4th-block-jayanagar-bangalore-601010,50
Maiyas Restaurants,South Indian,4.3,j.p nagar,10,https://www.swiggy.com/restaurants/maiyas-restaurants-4th-block-jayanagar-bangalore-17077,125
Ramji Chaiwale,Punjabi,4.2,ashok nagar,20,https://www.swiggy.com/restaurants/ramji-chaiwale-residency-road-ashok-nagar-bangalore-59234,50
Holige Mane,Sweets,4.5,rajajinagar,20,https://www.swiggy.com/restaurants/holige-mane-bashyam-circle-rajajinagar-bangalore-164061,100
Udupi Aatithya,Beverages,4.2,basavanagudi,20,https://www.swiggy.com/restaurants/udupi-aatithya-chikkanna-garden-basavanagudi-bangalore-474587,250
Shravan Specials by Lunchbox,North Indian,3.5,j.p nagar,20,https://www.swiggy.com/restaurants/shravan-specials-by-lunchbox-rashtriya-vidyalaya-rd-jayanagar-bangalore-263747,100
The Baker's Dozen,Snacks,3.9,residency road (shanti nagar),20,https://www.swiggy.com/restaurants/the-bakers-dozen-opp-nandini-booth-sriprasth-complex-residency-road-shanti-nagar-bangalore-704354,250
Juice Junction,Juices,4.5,wilson garden,20,https://www.swiggy.com/restaurants/juice-junction-wilson-garden-bangalore-4848,75
SLAY Coffee,Beverages,4.2,basavanagudi,20,https://www.swiggy.com/restaurants/slay-coffee-rv-road-basavanagudi-bangalore-136880,100
Gopaljee Cafe,Snacks,4.3,koramangala,20,https://www.swiggy.com/restaurants/gopaljee-cafe-koramangala-bangalore-437907,175
Kakal Kai Ruchi,North Indian,4.3,kanteshwar layout,20,https://www.swiggy.com/restaurants/kakal-kai-ruchi-7th-phase-kanteshwar-layout-bangalore-121650,190
Glen's Bakehouse,Bakery,4.4,ashok nagar,20,https://www.swiggy.com/restaurants/glens-bakehouse-lavelle-road-ashok-nagar-bangalore-17376,250
Protein Chef,Fast Food,4.1,basavanagudi,20,https://www.swiggy.com/restaurants/protein-chef-bbmp-south-basavanagudi-bangalore-744220,250
