Restaurant_Name,Cusines,Ratings,Location,Delivery_review_no,Restaurant_link,Price_for_one
LJ Iyengar Bakery,Bakery,3.8,shivajinagar,100,https://www.swiggy.com/restaurants/lj-iyengar-bakery-thyagaraja-nagar-basavanagudi-bangalore-417545,75
South Ruchi,North Indian,3.9,basavanagudi,100,https://www.swiggy.com/restaurants/south-ruchi-chikpete-bangalore-39059,75
Udupi Sri Krishna Vaibhava,Chinese,4,chikpete,100,https://www.swiggy.com/restaurants/udupi-sri-krishna-vaibhava-6th-block-jayanagar-bangalore-485614,75
Krishnam Veg,North Indian,4,j.p nagar,100,https://www.swiggy.com/restaurants/krishnam-veg-nanjappa-circle-shanti-nagar-bangalore-615499,100
Rajasthani Dhaba,Rajasthani,4,shanti nagar,100,https://www.swiggy.com/restaurants/rajasthani-dhaba-lakshmi-road-shanthi-nagar-bangalore-334172,100
Sri Venkateshwara Sweet Meat Stall,Sweets,4.5,shanti nagar,100,https://www.swiggy.com/restaurants/sri-venkateshwara-sweet-meat-stall-gandhi-bazaar-main-road-basavanagudi-bangalore-313198,150
Coffee time,Snacks,2.1,basavanagudi,100,https://www.swiggy.com/restaurants/coffee-time-chamrajpet-basavanagudi-bangalore-418235,75
R. R. Biryani Park,Seafood,4,basavanagudi,100,https://www.swiggy.com/restaurants/r-r-biryani-park-hallagevadera-halli-rr-nagar-bangalore-30299,125
Thalassery Restaurant,Chinese,4,rajarajeshwari nagar,100,https://www.swiggy.com/restaurants/thalassery-restaurant-1st-stage-kumaraswamy-layout-bangalore-627799,200
Davanagere Benne Dosa Kendra,South Indian,3.8,kumaraswamy layout,100,https://www.swiggy.com/restaurants/davanagere-benne-dosa-kendra-basaveshwara-circle-rajarajeshwari-nagar-bangalore-370277,100
Sri Krishna Vaibhav,South Indian,4.3,rajarajeshwari nagar,100,https://www.swiggy.com/restaurants/sri-krishna-vaibhav-1st-block-rajajinagar-bangalore-567091,74.5
Parijata pure veg,South Indian,4.3,rajajinagar,100,https://www.swiggy.com/restaurants/parijata-pure-veg-shoolay-circle-richmond-town-bangalore-303283,100
Santhanam Sweets,Sweets,4.6,richmond town,100,https://www.swiggy.com/restaurants/santhanam-sweets-bharati-nagar-commercial-street-bangalore-345097,100
Davanagere Benne Dose Mane,South Indian,4,commercial street,100,https://www.swiggy.com/restaurants/davanagere-benne-dose-mane-shivanagar-rajajinagar-bangalore-732912,75
Zed The Baker,Bakery,4,rajajinagar,100,https://www.swiggy.com/restaurants/zed-the-baker-race-course-road-high-grounds-bangalore-427743,250
Butter Batter,South Indian,4.5,high grounds,100,https://www.swiggy.com/restaurants/butter-batter-giri-nagar-basavanagudi-bangalore-581233,100
Chaska Bun,Beverages,3.2,basavanagudi,100,https://www.swiggy.com/restaurants/chaska-bun-c-main-road-jayanagar-bangalore-670742,100
Oottupura,South Indian,4.2,j.p nagar,100,https://www.swiggy.com/restaurants/oottupura-maruthi-nagar-btm-layout-bangalore-115918,134
Paratha Town,Indian,4,btm layout,100,https://www.swiggy.com/restaurants/paratha-town-sector-5-hsr-layout-bangalore-670946,100
Krishna Food Centre,North Indian,4.4,hsr layout,100,https://www.swiggy.com/restaurants/krishna-food-centre-ashwini-layout-ejipura-bangalore-405187,125
The Morning Crumb,Beverages,4,ejipura,100,https://www.swiggy.com/restaurants/the-morning-crumb-annaiah-reddy-layout-jp-nagar-bangalore-709479,200
Kadamba Foodline,South Indian,4.3,j.p nagar,100,https://www.swiggy.com/restaurants/kadamba-foodline-cambridge-layout-halasuru-bangalore-197123,200
Dharmik Veg,Chinese,4.4,halasuru,100,https://www.swiggy.com/restaurants/dharmik-veg-pulakeshinagar-frazer-town-bangalore-596794,150
The SnackStop(Eswaris Homemade snacks),Indian,4.4,frazer town,100,https://www.swiggy.com/restaurants/the-snackstop-eswaris-homemade-snacks-hal-2nd-stage-indiranagar-bangalore-319688,75
Madurai Parotta House,Chinese,3.5,indiranagar,100,https://www.swiggy.com/restaurants/madurai-parotta-house-1st-stage-btm-layout-bangalore-445430,125
New South Corner,North Indian,4.4,btm layout,100,https://www.swiggy.com/restaurants/new-south-corner-2nd-stage-btm-layout-bangalore-62142,125
Udupi Upachar Jp Nagar,North Indian,4.1,btm layout,100,https://www.swiggy.com/restaurants/udupi-upachar-jp-nagar-5th-phase-jp-nagar-bangalore-528149,75
A Hole Lotta Love Cafe,American,4.3,j.p nagar,100,https://www.swiggy.com/restaurants/a-hole-lotta-love-cafe-2nd-stage-indiranagar-bangalore-498758,150
Sinful Desserts,Desserts,4.1,indiranagar,100,https://www.swiggy.com/restaurants/sinful-desserts-koramangala-bangalore-229398,150
Texas Burgers,Desserts,4.1,koramangala,100,https://www.swiggy.com/restaurants/texas-burgers-2nd-stage-btm-layout-bangalore-307013,150
Lucknow Express,Bengali,3.6,btm layout,100,https://www.swiggy.com/restaurants/lucknow-express-hal-2nd-stage-indiranagar-bangalore-574255,5
Bite Me Cupcakes,Desserts,4.1,indiranagar,100,https://www.swiggy.com/restaurants/bite-me-cupcakes-1st-block-koramangala-bangalore-506,75
Sai ram hot chips,Beverages,4.5,koramangala,100,https://www.swiggy.com/restaurants/sai-ram-hot-chips-2nd-stage-btm-layout-bangalore-316610,99.5
Paratha House,North Indian,4.2,btm layout,100,https://www.swiggy.com/restaurants/paratha-house-lakshmi-road-shanti-nagar-bangalore-231794,100
Dairy Day Ice Creams & Frozen Desserts,Desserts,4.6,shanti nagar,100,https://www.swiggy.com/restaurants/dairy-day-ice-creams-and-frozen-desserts-2nd-stage-basavanagudi-bangalore-601601,200
Shree Shabhari Darshini,South Indian,4.5,basavanagudi,100,https://www.swiggy.com/restaurants/shree-shabhari-darshini-maruti-nagar-btm-layout-bangalore-390317,50
Coffee Bucks,Pastas,4,btm layout,100,https://www.swiggy.com/restaurants/coffee-bucks-5th-block-jayanagar-bangalore-579458,150
New Samrat Restaurant,North Indian,4.2,j.p nagar,100,https://www.swiggy.com/restaurants/new-samrat-restaurant-sc-road-seshadripuram-bangalore-411998,75
Taaza Upahar,Indian,4.3,seshadripuram,100,https://www.swiggy.com/restaurants/taaza-upahar-kempegowda-layout-vijayanagar-bangalore-290340,50
Gnanesh Fruit Juice Center, Beverages,4.7,vijayanagar,100,https://www.swiggy.com/restaurants/gnanesh-fruit-juice-center-3rd-stage-banashankari-bangalore-573274,50
Shree Krishna Vaibhava,Indian,3.8,banashankari,100,https://www.swiggy.com/restaurants/shree-krishna-vaibhava-opp-veeresha-theater-magadi-main-road-vijayanagar-bangalore-705282,50
Shri Ayodhya,North Indian,4,vijayanagar,100,https://www.swiggy.com/restaurants/shri-ayodhya-2nd-stage-basaveshwara-nagar-bangalore-60853,75
Shree Guru Sagar,South Indian,4.2,basaveshwaranagar,100,https://www.swiggy.com/restaurants/shree-guru-sagar-3rd-stage-basaveshwara-nagar-bangalore-177816,75
Peppa Zzing,Continental,4.2,basaveshwaranagar,100,https://www.swiggy.com/restaurants/peppa-zzing-pulakeshinagar-frazer-town-bangalore-20060,250
Waffl'd,Desserts,4,frazer town,100,https://www.swiggy.com/restaurants/waffld-1st-block-koramangala-bangalore-229382,150
Amma's Andra stlye Homely Food,North Indian,4.1,koramangala,100,https://www.swiggy.com/restaurants/ammas-andra-stlye-homely-food-4th-block-basaveshwaranagar-bangalore-463366,250
Vegan Heat,Italian,4,basaveshwaranagar,100,https://www.swiggy.com/restaurants/vegan-heat-1st-block-koramangala-bangalore-46646,127.5
Terra Bites,American,4.1,koramangala,100,https://www.swiggy.com/restaurants/terra-bites-4th-block-koramangala-bangalore-102148,350
The Khichadi Factory,North Indian,3.9,koramangala,100,https://www.swiggy.com/restaurants/the-khichadi-factory-binnamangala-indiranagar-bangalore-224603,150
Peppy Bowl,Continental,4.1,indiranagar,100,https://www.swiggy.com/restaurants/peppy-bowl-kodihalli-indiranagar-bangalore-423282,250
Nam's Express Kitchen,Chinese,3.5,indiranagar,100,https://www.swiggy.com/restaurants/nams-express-kitchen-2nd-stage-e-block-rajajinagar-bangalore-363993,125
Nisarga Grand,Chinese,4.4,rajajinagar,100,https://www.swiggy.com/restaurants/nisarga-grand-ganganagar-r-t-nagar-bangalore-503401,150
Vaishali's Kitchen,Chinese,3.8,rt nagar,100,https://www.swiggy.com/restaurants/vaishalis-kitchen-bhavani-nagar-jp-nagar-bangalore-610179,200
Badhyas,Indian,4.2,j.p nagar,100,https://www.swiggy.com/restaurants/badhyas-isro-layout-kumaraswamy-layout-bangalore-231484,100
The Meals Junction,Bengali,3.4,kumaraswamy layout,100,https://www.swiggy.com/restaurants/the-meals-junction-indiranagar-bangalore-574268,2.5
Shakers Cafe,Desserts,4.3,indiranagar,100,https://www.swiggy.com/restaurants/shakers-cafe-sri-krishna-temple-road-indiranagar-bangalore-193563,100
Pressman'S,Fast Food,4,indiranagar,100,https://www.swiggy.com/restaurants/pressmans-r-r-nagara-kanakapura-road-bangalore-742537,150
Vinaya Cafe,South Indian,4.4,kanakapura,100,https://www.swiggy.com/restaurants/vinaya-cafe-6th-phase-jp-nagar-bangalore-154326,125
New Alameen Restaurant,Kerala,3.9,j.p nagar,100,https://www.swiggy.com/restaurants/new-alameen-restaurant-bazaar-street-halasuru-bangalore-130367,150
Sri Raghavendra Davanagere Benne Dose Hotel,South Indian,3.9,halasuru,100,https://www.swiggy.com/restaurants/sri-raghavendra-davanagere-benne-dose-hotel-1st-phase-jp-nagar-bangalore-122310,100
Amontron,Chinese,3.9,j.p nagar,100,https://www.swiggy.com/restaurants/amontron-2nd-stage-btm-layout-bangalore-57699,150
Little White Kitchen,Continental,4.5,btm layout,100,https://www.swiggy.com/restaurants/little-white-kitchen-brigade-road-ashok-nagar-bangalore-62112,150
Puliyogare Corner,South Indian,3.8,ashok nagar,100,https://www.swiggy.com/restaurants/puliyogare-corner-jayanagar-jp-nagar-bangalore-714231,75
Eat & Repeat,South Indian,4.2,j.p nagar,100,https://www.swiggy.com/restaurants/eat-and-repeat-nr-colony-basavanagudi-bangalore-143867,100
SLN Tiffin Room,Biryani,4.6,basavanagudi,100,https://www.swiggy.com/restaurants/sln-tiffin-room-chamarajpete-vijayanagar-bangalore-603830,50
Taste of malabar,South Indian,4.2,vijayanagar,100,https://www.swiggy.com/restaurants/taste-of-malabar-maruti-nagar-btm-layout-bangalore-133174,115
Nashta House,Chinese,4,btm layout,100,https://www.swiggy.com/restaurants/nashta-house-neelasandra-central-bangalore-bangalore-628148,125
Delhi Food Point,North Indian,4,central bangalore,100,https://www.swiggy.com/restaurants/delhi-food-point-1st-block-koramangala-bangalore-226,125
Davanagere Benne Dose Hotel,Indian,4.5,koramangala,100,https://www.swiggy.com/restaurants/davanagere-benne-dose-hotel-mahalakshmi-layout-rajajinagar-bangalore-247812,50
Savi Sagar,North Indian,4.1,rajajinagar,100,https://www.swiggy.com/restaurants/savi-sagar-srirampura-metro-station-rajajinagar-bangalore-37353,75
Galli Kitchen,Fast Food,4.2,rajajinagar,100,https://www.swiggy.com/restaurants/galli-kitchen-2nd-stage-banashankari-bangalore-526823,100
The Ganache Factory - Cakes & Desserts,Bakery,4.4,banashankari,100,https://www.swiggy.com/restaurants/the-ganache-factory-cakes-and-desserts-8th-block-jayanagar-bangalore-15250,100
Svadu Pure Ghee sweets,Sweets,4.1,j.p nagar,100,https://www.swiggy.com/restaurants/svadu-pure-ghee-sweets-2nd-stage-btm-layout-bangalore-33736,100
Coffee Cafe,Beverages,4.2,btm layout,100,https://www.swiggy.com/restaurants/coffee-cafe-1st-stage-basaveshwara-nagar-bangalore-321873,50
Srinivasa Brahmins Bakery,Street Food,4.6,basaveshwaranagar,100,https://www.swiggy.com/restaurants/srinivasa-brahmins-bakery-dr-dvg-road-basavanagudi-bangalore-22192,75
Hotel Raghavendra Prasanna,South Indian,4.7,basavanagudi,100,https://www.swiggy.com/restaurants/hotel-raghavendra-prasanna-chikkapete-city-market-bangalore-315796,100
Nisarga Garden,South Indian,4.3,city market,100,https://www.swiggy.com/restaurants/nisarga-garden-dvg-road-basavanagudi-bangalore-399118,100
Flying Kombucha,Beverages,4.4,basavanagudi,100,https://www.swiggy.com/restaurants/flying-kombucha-binnipete-bangalore-439729,100
Hotel Prashanth,Biryani,3.8,binnipete,100,https://www.swiggy.com/restaurants/hotel-prashanth-7th-phase-vijayanagar-bangalore-526086,150
Hatti Kaapi - Coffee and more,South Indian,4.3,vijayanagar,100,https://www.swiggy.com/restaurants/hatti-kaapi-coffee-and-more-4th-block-jayanagar-bangalore-27771,25
Hive Honey Cake,Desserts,4.6,j.p nagar,100,https://www.swiggy.com/restaurants/hive-honey-cake-h-k-p-road-shivaji-nagar-bangalore-615226,100
Halli Mane,North Indian,4.1,shivajinagar,100,https://www.swiggy.com/restaurants/halli-mane-3rd-cross-road-malleshwaram-bangalore-6400,100
Mr. Tea,Indian,3.9,malleswaram,100,https://www.swiggy.com/restaurants/mr-tea-maruti-nagar-btm-layout-bangalore-405531,100
Hotel Aditya,Chinese,3.6,btm layout,100,https://www.swiggy.com/restaurants/hotel-aditya-1st-stage-vijayanagar-bangalore-530950,125
DiabeSmart - Sugarfree Foods,Healthy Food,4.3,vijayanagar,100,https://www.swiggy.com/restaurants/diabesmart-sugarfree-foods-banashankari-basavanagudi-bangalore-744770,250
Rajanna Military Hotel,Kebabs,3.9,basavanagudi,100,https://www.swiggy.com/restaurants/rajanna-military-hotel-shiva-nagar-rajajinagar-bangalore-163586,150
Sln tiffin room muddanna hotel,South Indian,4,rajajinagar,100,https://www.swiggy.com/restaurants/sln-tiffin-room-muddanna-hotel-halsurpete-basavanagudi-bangalore-483910,20
Shakeshack,Desserts,4.2,basavanagudi,100,https://www.swiggy.com/restaurants/shakeshack-1st-block-koramangala-bangalore-418323,200
Tadka Singh,North Indian,4.2,koramangala,100,https://www.swiggy.com/restaurants/tadka-singh-cmh-road-indiranagar-bangalore-252,150
Donne Biriyani House,Kebabs,3.5,indiranagar,100,https://www.swiggy.com/restaurants/donne-biriyani-house-1st-stage-btm-layout-bangalore-415490,125
ITC Gardenia - Flavours,Continental,4,btm layout,100,https://www.swiggy.com/restaurants/itc-gardenia-flavours-residency-road-ashok-nagar-bangalore-281885,500
Donne Biryani Palace,Biryani,4,ashok nagar,100,https://www.swiggy.com/restaurants/donne-biryani-palace-chinmaya-mission-hospital-rd-indiranagar-bangalore-729719,100
Donne Biryani House,Chinese,3.1,indiranagar,100,https://www.swiggy.com/restaurants/donne-biryani-house-marenahalli-chandralayout-bangalore-396057,99.5
Savoury Seashell Restaurant - Kerala Style,Indian,4.1,chandralayout,100,https://www.swiggy.com/restaurants/savoury-seashell-restaurant-kerala-style-maruti-nagar-btm-layout-bangalore-330996,225
Garden Fresh,Healthy Food,4.4,btm layout,100,https://www.swiggy.com/restaurants/garden-fresh-2nd-stage-btm-layout-bangalore-31007,100
The Punjabi kitchen,Bengali,3.5,btm layout,100,https://www.swiggy.com/restaurants/the-punjabi-kitchen-hal-2nd-stage-indiranagar-bangalore-571338,2.5
Sri Sai Cafe,Chinese,3.7,indiranagar,100,https://www.swiggy.com/restaurants/sri-sai-cafe-chamrajpet-basavanagudi-bangalore-235488,75
Bombay Kulfi,Desserts,4.4,basavanagudi,100,https://www.swiggy.com/restaurants/bombay-kulfi-sudhamnagar-austin-town-bangalore-491655,50
Naadoota,Biryani,4.3,austin town,100,https://www.swiggy.com/restaurants/naadoota-new-church-road-vijay-nagar-bangalore-181472,175
Dairy Day Ice Creams & Frozen Desserts,Desserts,4.1,vijayanagar,100,https://www.swiggy.com/restaurants/dairy-day-ice-creams-and-frozen-desserts-wilson-garden-basavanagudi-bangalore-727378,75
Tea Time Cafe,Snacks,4.1,basavanagudi,100,https://www.swiggy.com/restaurants/tea-time-cafe-maruti-nagar-btm-layout-bangalore-378681,74.5
Mithaiwala,Sweets,3.8,btm layout,100,https://www.swiggy.com/restaurants/mithaiwala-b-b-m-p-south-jp-nagar-bangalore-716300,125
Ipsha's Kitchen,North Indian,4.1,j.p nagar,500,https://www.swiggy.com/restaurants/ipshas-kitchen-binnypet-rajajinagar-bangalore-453523,150
Humpty Dumpty,Burgers,4,rajajinagar,500,https://www.swiggy.com/restaurants/humpty-dumpty-bommanahalli-koramangala-bangalore-707108,150
Maggi Nation,Indian,4,koramangala,500,https://www.swiggy.com/restaurants/maggi-nation-100-feet-road-indiranagar-bangalore-279815,100
Sri Krishna Vaibhava,Chinese,4.3,indiranagar,500,https://www.swiggy.com/restaurants/sri-krishna-vaibhava-rajajinagara-basaveshwaranagar-bangalore-728908,125
RR Coffee House,Indian,4.3,basaveshwaranagar,500,https://www.swiggy.com/restaurants/rr-coffee-house-sector-b-rajarajeshwari-nagar-bangalore-136629,50
The Bangalore Creamery,Desserts,4.2,rajarajeshwari nagar,500,https://www.swiggy.com/restaurants/the-bangalore-creamery-1st-block-koramangala-bangalore-229390,100
Kolkata Foods,Chinese,4,koramangala,500,https://www.swiggy.com/restaurants/kolkata-foods-roopena-agrahara-bommanahalli-bangalore-559160,125
Angel Restaurant,South Indian,3.9,bommanahalli,500,https://www.swiggy.com/restaurants/angel-restaurant-sundar-ram-shetty-nagar-bilekahalli-bangalore-32629,100
Chole Bhature Street,Beverages,4,bilekahalli,500,https://www.swiggy.com/restaurants/chole-bhature-street-1st-stage-indiranagar-bangalore-602604,150
Budget Saapadu,Chinese,3.4,indiranagar,500,https://www.swiggy.com/restaurants/budget-saapadu-1st-stage-btm-layout-bangalore-466794,100
Truffles,Desserts,4.5,btm layout,500,https://www.swiggy.com/restaurants/truffles-ashok-nagar-st-marks-road-bangalore-3369,225
Samipa Iyengar Bakery,Bakery,4,st marks road,500,https://www.swiggy.com/restaurants/samipa-iyengar-bakery-2nd-phase-banashankari-bangalore-127818,75
HOTEL VRINDAVAN,Chinese,4.1,banashankari,500,https://www.swiggy.com/restaurants/hotel-vrindavan-1stu-main-r-p-c-layout-vijayanagar-bangalore-733172,250
Sri Udupi Vaibhava,Chinese,4.2,vijayanagar,500,https://www.swiggy.com/restaurants/sri-udupi-vaibhava-27th-cross-rd-jayanagar-bangalore-691358,100
Brahmins Veg Corner/Sri Guru Raghavendra Enterpris,Beverages,3.5,j.p nagar,500,https://www.swiggy.com/restaurants/brahmins-veg-corner-sri-guru-raghavendra-enterpris-padmanabhanagar-banashankari-bangalore-564841,65
Vijaynagar Vaibhav,South Indian,4.1,banashankari,500,https://www.swiggy.com/restaurants/vijaynagar-vaibhav-mc-layout-vijayanagar-bangalore-619033,125
Dum Biryani Hub,North Indian,3.4,vijayanagar,500,https://www.swiggy.com/restaurants/dum-biryani-hub-tavarekere-btm-layout-bangalore-496423,225
South Upahara,Chinese,4,btm layout,500,https://www.swiggy.com/restaurants/south-upahara-hv-halli-rajarajeshwari-nagar-bangalore-735944,75
Brunch House,Pastas,3.7,rajarajeshwari nagar,500,https://www.swiggy.com/restaurants/brunch-house-hal-2nd-stage-indiranagar-bangalore-465551,400
Sri Venkateshwara Hot Chips,Beverages,4.4,indiranagar,500,https://www.swiggy.com/restaurants/sri-venkateshwara-hot-chips-2nd-stage-btm-layout-bangalore-313770,99.5
Elite Mess,South Indian,4.1,btm layout,500,https://www.swiggy.com/restaurants/elite-mess-bilekahalli-arakere-bangalore-168239,125
Just Burger Off,Fast Food,4.3,arekere,500,https://www.swiggy.com/restaurants/just-burger-off-4th-block-koramangala-bangalore-245443,250
Shethji chai,Snacks,4,koramangala,500,https://www.swiggy.com/restaurants/shethji-chai-2nd-stage-btm-layout-bangalore-595981,50
The Caffeine Baar,Bakery,4.1,btm layout,500,https://www.swiggy.com/restaurants/the-caffeine-baar-9th-block-jayanagar-bangalore-330458,150
Just Bake - Cakes & confectioners,Bakery,4,j.p nagar,500,https://www.swiggy.com/restaurants/just-bake-cakes-and-confectioners-2nd-stage-btm-layout-bangalore-35891,150
Box Stories,North Indian,4.1,btm layout,500,https://www.swiggy.com/restaurants/box-stories-sector-5-hsr-layout-bangalore-671119,100
Sri Devi cafe,Chinese,3.9,hsr layout,500,https://www.swiggy.com/restaurants/sri-devi-cafe-pulakeshinagar-frazer-town-bangalore-427566,75
Cheesecakes By CakeZone,Bakery,4.2,frazer town,500,https://www.swiggy.com/restaurants/cheesecakes-by-cakezone-dr-rajkumar-rd-dr-rajkumar-road-bangalore-581525,100
Slurpy Shakes,Ice Cream,3.1,dr rajkumar road,500,https://www.swiggy.com/restaurants/slurpy-shakes-padmavathi-complex-vasanth-nagar-bangalore-402716,75
Burger It Up,Beverages,3.2,vasanth nagar,500,https://www.swiggy.com/restaurants/burger-it-up-millars-road-vasanth-nagar-bangalore-403216,75
Peppy Parathas & Rolls By Chai Point,Beverages,4.4,vasanth nagar,500,https://www.swiggy.com/restaurants/peppy-parathas-and-rolls-by-chai-point-2nd-stage-banashankari-bangalore-481820,75
Sundae Everyday Ice Creams,Ice Cream,3.4,banashankari,500,https://www.swiggy.com/restaurants/sundae-everyday-ice-creams-millars-road-vasanth-nagar-bangalore-402728,75
Costa Coffee,Beverages,2.9,vasanth nagar,500,https://www.swiggy.com/restaurants/costa-coffee-lulu-global-mall-rajajinagar-bangalore-659014,225
Beyond Healthy,Pizzas,3.7,rajajinagar,500,https://www.swiggy.com/restaurants/beyond-healthy-keb-colony-btm-layout-bangalore-637583,100
Ambur Dum Biriyani,Biryani,2.8,btm layout,500,https://www.swiggy.com/restaurants/ambur-dum-biriyani-1st-stage-btm-layout-bangalore-431087,125
Madurai Idly Shop,South Indian,4.1,btm layout,500,https://www.swiggy.com/restaurants/madurai-idly-shop-7th-block-koramangala-bangalore-322,75
Pizza Paradise,Pizzas,4,koramangala,500,https://www.swiggy.com/restaurants/pizza-paradise-mathukere-main-road-yeshwanthpur-bangalore-713011,200
Artinci - Indulge Guilt Free!,Healthy Food,4.2,yeshwanthpur,500,https://www.swiggy.com/restaurants/artinci-indulge-guilt-free-upkar-layout-arekere-bangalore-58543,100
Royal Restaurant,North Indian,3.9,arekere,500,https://www.swiggy.com/restaurants/royal-restaurant-sulthangunta-shivajinagar-bangalore-210945,150
McCafe by McDonald's,Desserts,4.3,shivajinagar,500,https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-mccafe-ashwini-complex-indiranagar-bangalore-147682,125
One Bite,Bakery,3.9,indiranagar,500,https://www.swiggy.com/restaurants/one-bite-1st-d-main-rd-koramangala-bangalore-663087,75
Kouzina Kafe - The Food Court,Desserts,3.5,koramangala,500,https://www.swiggy.com/restaurants/kouzina-kafe-the-food-court-millars-road-vasanth-nagar-bangalore-402783,75
Ghee Tadka Khichdi,Home Food,4.4,vasanth nagar,500,https://www.swiggy.com/restaurants/ghee-tadka-khichdi-3rd-stage-banashankari-bangalore-505857,150
Taj Hotel,Mughlai,4.1,banashankari,500,https://www.swiggy.com/restaurants/taj-hotel-jumma-masjid-road-shivajinagar-bangalore-50571,250
Tea Day,Fast Food,4.1,shivajinagar,500,https://www.swiggy.com/restaurants/tea-day-26th-main-rd-jayanagar-bangalore-703651,100
Baked Darzee,Desserts,4,j.p nagar,500,https://www.swiggy.com/restaurants/baked-darzee-binnamangala-indiranagar-bangalore-698751,250
Chainaama,Beverages,3.6,btm layout,500,https://www.swiggy.com/restaurants/chainaama-2nd-stage-indiranagar-bangalore-168880,50
34 Chowringhee Lane,Snacks,4.3,indiranagar,500,https://www.swiggy.com/restaurants/34-chowringhee-lane-sg-palya-btm-layout-bangalore-691963,100
The Sugar Free Keto Kafe - Artinci,Healthy Food,4.3,indiranagar,500,https://www.swiggy.com/restaurants/the-sugar-free-keto-kafe-artinci-jp-nagar-arekere-bangalore-157346,100
New Govind Rao Military Hotel,Biryani,3.5,btm layout,500,https://www.swiggy.com/restaurants/new-govind-rao-military-hotel-chickpet-majestic-bangalore-39936,100
Apna Ghar,North Indian,3.9,arekere,500,https://www.swiggy.com/restaurants/apna-ghar-lakshmisha-road-jayanagar-bangalore-405430,100
The Bangalore Tiffanys,South Indian,4.2,majestic,500,https://www.swiggy.com/restaurants/the-bangalore-tiffanys-keshava-nagar-vijay-nagar-bangalore-581061,100
Pai Vihar Grand,North Indian,4.2,j.p nagar,500,https://www.swiggy.com/restaurants/pai-vihar-grand-otc-road-city-market-bangalore-39564,125
Bite,Salads,4,vijayanagar,500,https://www.swiggy.com/restaurants/bite-sbm-colony-basavanagudi-bangalore-711041,16
Rasapaka,North Indian,4,city market,500,https://www.swiggy.com/restaurants/rasapaka-gandhi-nagar-majestic-bangalore-457213,100
Chandni Chowk,North Indian,3.4,basavanagudi,500,https://www.swiggy.com/restaurants/chandni-chowk-3rd-stage-banashankari-bangalore-320034,75
Southly Healthy By Adiga's,Healthy Food,3.7,majestic,500,https://www.swiggy.com/restaurants/southly-healthy-by-adigas-chickpet-majestic-bangalore-295581,100
Iceberg Organic Icecreams,Desserts,4.6,banashankari,500,https://www.swiggy.com/restaurants/iceberg-organic-icecreams-1st-block-dr-rajkumar-road-bangalore-537660,100
Celebration Special by CakeZone,Snacks,4,majestic,500,https://www.swiggy.com/restaurants/celebration-special-by-cakezone-1st-block-dr-rajkumar-road-bangalore-433395,150
SRI VISHNU PARK,North Indian,4,dr rajkumar road,500,https://www.swiggy.com/restaurants/sri-vishnu-park-kh-road-shanthi-nagar-bangalore-727936,149.5
Pizza Box,Pizzas,3.7,dr rajkumar road,500,https://www.swiggy.com/restaurants/pizza-box-am-road-sulthangunta-shivaji-nagar-bangalore-658363,200
Balaji Restaurant,North Indian,3.6,shanti nagar,500,https://www.swiggy.com/restaurants/balaji-restaurant-koramangala-bangalore-144113,100
Mad Over Donuts,Desserts,4.3,shivajinagar,500,https://www.swiggy.com/restaurants/mad-over-donuts-balachandra-layout-nagarbhavi-bangalore-624428,100
Manjushree Upahar,South Indian,4,koramangala,500,https://www.swiggy.com/restaurants/manjushree-upahar-kengunte-nagarbhavi-bangalore-127825,50
Royal Biryani Kitchen,Chinese,3.3,nagarbhavi,500,https://www.swiggy.com/restaurants/royal-biryani-kitchen-1st-stage-btm-layout-bangalore-415042,125
Devi Uphara,Desserts,4,nagarbhavi,500,https://www.swiggy.com/restaurants/devi-uphara-chandra-layout-vijayanagar-bangalore-32695,100
New Joshi Mess,Indian,4.1,btm layout,500,https://www.swiggy.com/restaurants/new-joshi-mess-siddeshwara-nagar-vijayanagar-bangalore-574168,100
Brahmishree Nandi Grand,Chinese,4.4,vijayanagar,500,https://www.swiggy.com/restaurants/brahmishree-nandi-grand-rpc-layout-vijayanagar-bangalore-625785,125
Sri Maruthi Hotel,North Indian,4.3,vijayanagar,500,https://www.swiggy.com/restaurants/sri-maruthi-hotel-2nd-block-rajajinagar-bangalore-472158,200
Vasavi Food Point Mulabagilu Dosa,South Indian,4.4,vijayanagar,500,https://www.swiggy.com/restaurants/vasavi-food-point-mulabagilu-dosa-yalappa-garden-malleshwaram-bangalore-699484,45
Fresh Juice And Sandwich,Fast Food,4.3,rajajinagar,500,https://www.swiggy.com/restaurants/fresh-juice-and-sandwich-3rd-block-koramangala-bangalore-605110,75
Sandoitchi Kojo Authentic Japanese Sandwiches,Japanese,4.2,malleswaram,500,https://www.swiggy.com/restaurants/sandoitchi-kojo-authentic-japanese-sandwiches-6th-sector-hsr-layout-bangalore-348812,150
Gowdas Nati Cafe,Biryani,3.9,koramangala,500,https://www.swiggy.com/restaurants/gowdas-nati-cafe-1st-stage-btm-layout-bangalore-435844,125
Vaigai Vilas,Andhra,3.5,hsr layout,500,https://www.swiggy.com/restaurants/vaigai-vilas-1st-stage-btm-layout-bangalore-266153,125
Jodhpur Sweets And Snacks,Snacks,3.9,btm layout,500,https://www.swiggy.com/restaurants/jodhpur-sweets-and-snacks-chandra-layout-vijayanagar-bangalore-389538,100
